CURVE,X,Y
1502,240,157
1502,260,170
1502,270,176.6
1502,280,183.1
1502,290,189.7
1502,299,195.5
429,0,0.7
429,1,0.7
429,10,6.5
429,20,13.1
429,30,19.6
429,40,26.2
429,60,39.2
429,70,45.8
429,80,52.3
429,90,58.9
429,110,71.9
429,120,78.5
429,130,85
429,140,91.6
429,160,104.6
429,170,111.2
429,180,117.7
429,190,124.3
429,210,137.3
429,220,143.9
429,230,150.4
429,240,157
429,260,170
429,270,176.6
429,280,183.1
429,290,189.7
429,299,195.5
859,0,0.7
859,1,0.7
859,10,6.5
859,20,13.1
859,30,19.6
859,40,26.2
859,60,39.2
859,70,45.8
859,80,52.3
859,90,58.9
859,110,71.9
859,120,78.5
859,130,85
859,140,91.6
859,160,104.6
859,170,111.2
859,180,117.7
859,190,124.3
859,210,137.3
859,220,143.9
859,230,150.4
859,240,157
859,260,170
859,270,176.6
859,280,183.1
859,290,189.7
859,299,195.5
250,0,0.7
250,1,0.7
250,10,6.5
250,20,13.1
250,30,19.6
250,40,26.2
250,60,39.2
250,70,45.8
250,80,52.3
250,90,58.9
250,110,71.9
250,120,78.5
250,130,85
250,140,91.6
250,160,104.6
250,170,111.2
250,180,117.7
250,190,124.3
250,210,137.3
250,220,143.9
250,230,150.4
250,240,157
250,260,170
250,270,176.6
250,280,183.1
250,290,189.7
250,299,195.5
333,0,0.7
333,1,0.7
333,10,7.1
333,20,14.3
333,30,21.4
333,40,28.6
333,60,42.8
333,70,50
333,80,57.1
333,90,64.3
333,110,78.5
333,120,85.7
333,130,92.8
333,140,100
333,160,114.2
333,170,121.4
333,180,128.5
333,190,135.7
333,210,149.9
333,220,157.1
333,230,164.2
333,240,171.4
333,260,185.6
333,270,192.8
333,280,199.9
333,290,207.1
333,299,213.5
1785,0,0.7
1785,1,0.7
1785,10,7.1
1785,20,14.3
1785,30,21.4
1785,40,28.6
1785,60,42.8
1785,70,50
1785,80,57.1
1785,90,64.3
1785,110,78.5
1785,120,85.7
1785,130,92.8
1785,140,100
1785,160,114.2
1785,170,121.4
1785,180,128.5
1785,190,135.7
1785,210,149.9
1785,220,157.1
1785,230,164.2
1785,240,171.4
1785,260,185.6
1785,270,192.8
1785,280,199.9
1785,290,207.1
1785,299,213.5
1591,0,0.7
1591,1,0.7
1591,10,7.1
1591,20,14.3
1591,30,21.4
1591,40,28.6
1591,60,42.8
1591,70,50
1591,80,57.1
1591,90,64.3
1591,110,78.5
1591,120,85.7
1591,130,92.8
1591,140,100
1591,160,114.2
1591,170,121.4
1591,180,128.5
1591,190,135.7
1591,210,149.9
1591,220,157.1
1591,230,164.2
1591,240,171.4
1591,260,185.6
1591,270,192.8
1591,280,199.9
1591,290,207.1
1591,299,213.5
24,0,0.7
24,1,0.7
24,10,7.1
24,20,14.3
24,30,21.4
24,40,28.6
24,60,42.8
24,70,50
24,80,57.1
24,90,64.3
24,110,78.5
24,120,85.7
24,130,92.8
24,140,100
24,160,114.2
24,170,121.4
24,180,128.5
24,190,135.7
24,210,149.9
24,220,157.1
24,230,164.2
24,240,171.4
24,260,185.6
24,270,192.8
24,280,199.9
24,290,207.1
24,299,213.5
1577,0,0.5
1577,1,0.5
1577,10,4.8
1577,20,9.6
1577,30,14.3
1577,70,33.5
1577,80,38.2
1577,120,57.4
1577,130,62.1
1577,170,81.3
1577,180,86
1577,220,105.2
1577,230,109.9
1577,270,129.1
1577,280,133.8
1577,290,138.6
1577,299,142.9
1320,0,0.5
1320,1,0.5
1320,10,5.2
1320,20,10.4
1320,30,15.7
1320,70,36.5
1320,80,41.8
1320,120,62.6
1320,130,67.9
1320,170,88.7
1320,180,94
1320,220,114.8
1320,230,120.1
1320,270,140.9
1320,280,146.2
1320,290,151.4
1320,299,156.1
1051,0,0.5
1051,1,0.5
1051,10,4.8
1051,20,9.6
1051,30,14.3
1051,70,33.5
1051,80,38.2
1051,120,57.4
1051,130,62.1
1051,170,81.3
1051,180,86
1051,220,105.2
1051,230,109.9
1051,270,129.1
1051,280,133.8
1051,290,138.6
1051,299,142.9
1671,0,0.5
1671,1,0.5
1671,10,4.8
1671,20,9.6
1671,30,14.3
1671,70,33.5
1671,80,38.2
1671,120,57.4
1671,130,62.1
1671,170,81.3
1671,180,86
1671,220,105.2
1671,230,109.9
1671,270,129.1
1671,280,133.8
1671,290,138.6
