AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
22001,210,1817.6,60.0,,,2376.5,86.9,8.655,102.7,68.0,284.6,284.6,284.6,284.4
22001,220,1835.6,60.7,,,2422.0,86.4,8.344,102.7,69.1,276.5,276.5,276.5,276.3
22001,230,1841.7,61.3,,,2445.9,85.9,8.007,102.4,69.5,272.3,272.3,272.3,272.2
22001,240,1835.5,61.9,,,2451.0,85.4,7.648,102.0,69.5,270.5,270.5,270.5,270.4
22001,250,1828.7,62.5,,,2455.4,84.9,7.315,101.5,69.6,268.7,268.7,268.7,268.6
22001,260,1821.4,63.0,,,2459.2,84.4,7.005,101.0,69.6,267.0,267.0,267.0,266.8
22001,270,1813.6,63.5,,,2462.5,84.0,6.717,100.5,69.7,265.3,265.3,265.3,265.1
22001,280,1805.4,64.0,,,2465.3,83.5,6.448,100.0,69.7,263.6,263.6,263.6,263.4
22001,290,1797.1,64.4,,,2468.2,83.0,6.197,99.5,69.7,261.8,261.8,261.8,261.7
22001,300,1788.5,64.8,,,2470.6,82.5,5.962,99.0,69.8,260.1,260.1,260.1,259.9
22001,310,1779.6,65.2,,,2472.7,82.0,5.741,98.4,69.8,258.4,258.4,258.4,258.2
22001,320,1770.5,65.6,,,2474.5,81.5,5.533,97.9,69.8,256.7,256.7,256.7,256.6
22001,330,1761.2,65.9,,,2476.1,81.0,5.337,97.4,69.8,255.1,255.1,255.1,254.9
22001,340,1751.7,66.3,,,2477.5,80.6,5.152,96.8,69.8,253.4,253.4,253.4,253.3
22001,350,1742.0,66.6,,,2478.6,80.1,4.977,96.2,69.9,251.8,251.8,251.8,251.6
22002,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22002,10,0.0,2.2,,,0.0,2.0,0.0,0.0,0.3,625.6,625.6,0.0,0.0
22002,20,0.0,5.2,,,1.0,12.6,0.0,0.4,2.8,609.4,609.4,0.0,0.0
22002,30,0.6,8.6,,,10.3,35.5,0.022,2.9,7.9,596.2,596.2,16.0,0.0
22002,40,19.5,11.7,,,35.0,57.3,0.488,8.1,13.2,588.3,588.3,326.4,34.9
22002,50,63.1,14.5,,,80.7,65.4,1.262,14.7,17.8,583.4,583.4,520.2,304.0
22002,60,109.8,16.9,,,130.9,67.8,1.829,20.1,20.9,580.0,580.0,561.5,443.6
22002,70,155.8,19.0,,,181.1,68.3,2.225,24.6,23.2,576.9,576.9,566.5,503.2
22002,80,200.0,20.9,,,229.9,68.2,2.5,28.4,25.0,573.7,573.7,565.8,522.0
